id,ts,user_id,card_id,amount,merchant,merchant_city,merchant_state,mcc,use_chip,is_fraud
ee56656c-7dcd-48a8-9660-ea3c34cdf8ac,2026-06-19T14:19:27.832607+00:00,174,4,15.69,Delta Airlines,Atlanta,GA,4511,Swipe Transaction,0
c49e8369-33f1-4ebf-ab13-d303f446ad7b,2026-08-08T21:14:27.832607+00:00,167,4,24.74,Amazon,Seattle,WA,5942,Chip Transaction,0
e28c80d2-7431-4a41-8831-cacaa2bc8236,2026-07-09T14:42:27.832607+00:00,72,1,39.47,Best Buy,Richfield,MN,5732,Chip Transaction,0
258bee18-d2cc-4352-b32a-8e253865c5e7,2026-07-28T04:48:27.832607+00:00,89,4,9.11,Uber,San Francisco,CA,4121,Chip Transaction,0
5cef0491-294a-48f6-9844-e8d556e30b2f,2026-07-23T17:18:27.832607+00:00,21,4,22.84,Delta Airlines,Atlanta,GA,4511,Online Transaction,0
a3be1b8d-91ec-412f-b3d0-6a91f96d3531,2026-07-21T02:42:27.832607+00:00,18,0,62.32,Best Buy,Richfield,MN,5732,Chip Transaction,0
2a6c47bc-a156-4aa5-b042-9e77625fd390,2026-07-27T01:18:27.832607+00:00,42,2,17.49,Walmart,Bentonville,AR,5411,Online Transaction,0
206ffea1-d1a6-4c2c-9ec2-36a7dc25612f,2026-07-15T11:03:27.832607+00:00,163,1,65.67,Shell,Houston,TX,5541,Chip Transaction,0
c8e65702-1d64-4710-aed8-2ee7a52c9cba,2026-06-29T04:19:27.832607+00:00,177,4,22.65,Target,Minneapolis,MN,5411,Online Transaction,0
8582e8b5-6d61-4078-a671-f81d04b555d2,2026-07-27T19:24:27.832607+00:00,146,2,20.83,Costco,Issaquah,WA,5411,Online Transaction,0
a5840f60-c30b-4092-99ed-b1763d64d9e7,2026-07-28T10:40:27.832607+00:00,36,1,129.41,Netflix,Los Gatos,CA,4899,Chip Transaction,0
afb70893-406a-4114-a737-dbb7ed0eb811,2026-06-26T16:50:27.832607+00:00,57,1,88.07,Delta Airlines,Atlanta,GA,4511,Chip Transaction,0
392868db-8b38-422b-b4d7-90cc96363a80,2026-07-01T10:05:27.832607+00:00,17,3,63.21,CVS Pharmacy,Woonsocket,RI,5912,Chip Transaction,0
7d7b5df0-fa30-408e-9377-f0f0572eff13,2026-07-13T01:30:27.832607+00:00,3,0,116.08,Apple Store,Cupertino,CA,5732,Online Transaction,0
818f4929-274d-40e2-a4b3-8b98c60e75e5,2026-06-28T22:08:27.832607+00:00,117,0,31.34,CVS Pharmacy,Woonsocket,RI,5912,Chip Transaction,0
